This is Ipopt version 3.10.0, running with linear solver ma27.
 220  1.1319838e+01 2.24e-01 9.74e+00  -1.6 1.31e+00    -  1.00e+00 9.91e-01H  1
 221  1.3255006e+01 0.00e+00 1.07e+01  -1.6 2.47e+00    -  4.00e-01 5.00e-01h  2
 222  1.3068615e+01 1.78e-02 9.77e+00  -1.6 5.78e-01    -  1.00e+00 1.30e-01f  3
 223  1.3068796e+01 1.72e-02 9.90e+00  -1.6 3.48e-01    -  1.00e+00 4.88e-04h 12
 224  1.3068787e+01 1.73e-02 9.14e+00  -1.6 3.98e-01    -  1.00e+00 5.81e-05h 15
 225  1.2866599e+01 5.99e-02 4.07e+00  -1.6 2.51e-01    -  1.00e+00 1.00e+00H  1
 226  1.3196727e+01 7.95e-03 5.90e+00  -1.6 8.28e-01    -  1.00e+00 2.50e-01h  3
 227  1.3197248e+01 8.53e-03 6.20e+00  -3.2 9.75e-02    -  1.00e+00 4.63e-03h  8
 228  1.3197299e+01 8.64e-03 6.44e+00  -4.3 9.64e-02    -  1.00e+00 4.76e-04h 12
 229  1.3502221e+01 5.61e-03 1.05e+01  -4.3 1.01e-01    -  1.00e+00 8.66e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230  1.3311246e+01 3.43e-02 1.12e+01  -4.0 7.94e-02    -  1.00e+00 1.00e+00H  1
 231  1.2274657e+01 2.10e-01 1.01e+01  -4.1 5.18e-01    -  1.00e+00 1.00e+00H  1
 232  1.0530516e+01 4.64e-01 7.73e+00  -4.1 2.68e+00    -  1.00e+00 1.00e+00H  1
 233  1.1954268e+01 1.12e-01 8.73e+00  -4.1 4.58e+00    -  3.31e-01 1.00e+00H  1
 234  1.3307935e+01 2.45e-03 1.06e+01  -4.1 1.75e+00    -  1.00e+00 5.00e-01h  2
 235  1.2693893e+01 1.65e-01 1.12e+01  -4.1 3.47e-01    -  1.00e+00 1.00e+00f  1
 236  1.0366684e+01 5.35e-01 1.22e+01  -4.1 2.18e+00    -  1.00e+00 1.00e+00H  1
 237  1.3340910e+01 9.88e-03 1.03e+01  -4.1 5.05e+00    -  7.86e-02 1.00e+00H  1
 238  1.3464741e+01 1.43e-02 1.12e+01  -4.1 9.17e-02    -  1.00e+00 1.00e+00h  1
 239  1.3030933e+01 7.82e-02 1.09e+01  -4.1 2.20e-01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240  1.1412602e+01 3.71e-01 8.90e+00  -4.1 1.13e+00    -  1.00e+00 1.00e+00H  1
 241  1.1364555e+01 1.92e-01 8.50e+00  -4.1 4.12e+00    -  1.00e+00 1.00e+00H  1
 242  1.2356664e+01 7.43e-02 9.63e+00  -4.1 2.55e+00    -  6.41e-01 2.50e-01h  3
 243  1.3147188e+01 1.75e-02 1.02e+01  -4.1 1.04e+00    -  1.00e+00 5.00e-01h  2
 244  1.3191881e+01 2.30e-02 1.07e+01  -4.1 8.82e-02    -  1.00e+00 5.00e-01h  2
 245  1.3518837e+01 1.46e-03 1.08e+01  -4.1 4.33e-01    -  1.00e+00 5.00e-01h  2
 246  1.3501230e+01 4.87e-03 1.12e+01  -4.1 3.39e-02    -  1.00e+00 2.50e-01h  3
 247  1.3501217e+01 5.71e-03 1.15e+01  -4.1 7.85e-02    -  1.00e+00 4.67e-04h 11
 248  1.3501251e+01 5.36e-03 1.08e+01  -4.1 8.80e-02    -  1.00e+00 9.49e-04h 10
 249  1.3501281e+01 4.86e-03 1.01e+01  -4.1 8.15e-02    -  1.00e+00 4.61e-04h 11
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250  1.3499876e+01 5.59e-03 9.28e+00  -4.1 9.41e-01    -  2.20e-01 6.88e-04h  9
 251  1.3498940e+01 6.24e-03 1.70e+01  -4.1 1.81e-01    -  1.00e+00 2.39e-03h  6
 252  1.3563514e+01 0.00e+00 2.53e+01  -4.1 5.59e-02    -  9.91e-01 4.65e-01w  1
 253  1.2865929e+01 4.44e-01 1.26e+01  -4.1 3.23e-01    -  1.00e+00 8.57e-01w  1
 254  1.8509964e+01 0.00e+00 3.13e+01  -4.1 6.41e+00    -  4.81e-05 5.69e-01w  1
 255  8.8810846e+00 6.44e-01 1.46e+02  -4.1 8.90e+00    -  1.22e-01 7.22e-01h  1
 256  8.8815168e+00 6.43e-01 1.47e+02  -4.1 3.73e+00    -  1.00e+00 6.96e-05h  1
 257  1.0393107e+01 5.15e-01 1.03e+02  -4.1 5.09e+00    -  1.00e+00 2.11e-01h  3
 258  1.0553631e+01 5.15e-01 7.91e+01  -4.1 4.13e+00    -  1.88e-02 5.78e-02h  1
 259  1.1915020e+01 2.07e-02 3.52e+01  -4.1 3.59e+00    -  7.25e-05 1.75e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260  1.1171956e+01 5.34e-01 5.02e+01  -4.1 9.48e-01    -  4.85e-01 3.52e-01f  1
 261  1.1223705e+01 4.19e-01 3.74e+01  -4.1 2.97e+00    -  8.41e-02 8.19e-02h  1
 262  1.2526335e+01 3.51e-02 1.56e+01  -4.1 3.81e+00    -  1.16e-04 2.01e-01h  2
 263  1.2592987e+01 1.02e-01 2.01e+01  -4.1 8.51e-01    -  1.00e+00 1.18e-01h  3
 264  1.2991517e+01 9.84e-02 1.60e+01  -4.1 1.65e+00    -  1.00e+00 1.75e-01h  3
 265  1.2991481e+01 9.86e-02 1.59e+01  -4.1 1.72e+00    -  4.63e-01 5.35e-06h 18
 266  1.2991493e+01 9.82e-02 1.61e+01  -4.1 1.70e+00    -  1.00e+00 3.88e-06h 18
 267  1.3028016e+01 9.51e-02 1.52e+01  -4.1 1.55e+00    -  5.88e-01 1.56e-02h  7
 268  1.3028011e+01 9.41e-02 1.56e+01  -4.1 1.95e+00    -  1.00e+00 2.07e-05h 15
 269  1.3030254e+01 9.47e-02 1.55e+01  -4.1 1.42e+00    -  7.64e-01 9.77e-04h 11
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  1.1936510e+01 3.28e-01 4.43e+01  -4.1 1.43e+00    -  8.92e-01 5.03e-01H  1
 271  1.2132489e+01 2.82e-01 3.89e+01  -4.1 3.97e+00    -  1.50e-01 3.12e-02h  6
 272  1.0351727e+01 5.48e-01 9.17e+00  -4.1 3.54e+00    -  1.00e+00 9.57e-01H  1
 273  1.0360190e+01 5.46e-01 9.64e+00  -4.1 5.32e+00    -  1.12e-05 1.02e-03h  5
 274  1.3301631e+01 2.91e-02 1.10e+01  -4.1 5.30e+00    -  3.67e-02 3.56e-01h  2
 275  1.3301441e+01 2.92e-02 5.03e+00  -4.1 1.18e+00    -  1.00e+00 1.72e-04h  1
 276  1.3341221e+01 2.89e-02 5.29e+00  -4.1 2.45e-01    -  1.00e+00 1.25e-01h  4
 277  1.3342901e+01 2.82e-02 5.08e+00  -4.1 3.10e-01    -  1.00e+00 3.91e-03h  9
 278r 1.3342912e+01 2.84e-02 9.99e+02  -1.5 0.00e+00    -  0.00e+00 4.77e-07R 22
 279r 1.3514479e+01 0.00e+00 9.69e+02   0.2 5.50e+01    -  5.99e-02 1.04e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280r 1.4221817e+01 0.00e+00 1.24e+01  -0.8 1.68e+01    -  1.00e+00 3.09e-02f  1
 281r 1.5796657e+01 0.00e+00 3.01e+00   0.1 1.96e+00    -  8.69e-01 3.44e-01f  1
 282r 1.4183302e+01 0.00e+00 3.28e+00  -2.0 5.78e-01    -  5.99e-01 9.93e-01f  1
 283r 1.4801493e+01 0.00e+00 2.81e-02  -1.9 3.28e-01    -  9.79e-01 1.00e+00h  1
 284  1.2342447e+01 0.00e+00 1.33e+01  -4.1 1.90e+01    -  6.95e-03 7.08e-02f  1
 285  1.1256761e+01 9.08e-02 1.19e+01  -4.1 1.65e+00    -  1.00e+00 3.59e-01f  2
 286  1.1666267e+01 1.34e-01 2.74e+01  -4.1 7.73e-01    -  5.43e-01 1.83e-01H  1
 287  1.2030339e+01 1.90e-01 2.17e+01  -4.1 9.03e-01    -  1.00e+00 2.98e-01h  2
 288  1.2740095e+01 8.19e-02 3.14e+01  -4.1 1.31e+00    -  6.10e-02 3.44e-01h  1
 289  1.3115513e+01 4.74e-03 2.26e+01  -4.1 6.27e-01    -  1.00e+00 3.70e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290  1.3104717e+01 4.05e-02 1.48e+01  -4.1 1.18e-01    -  5.98e-01 4.32e-01h  2
 291  1.3110342e+01 3.95e-02 1.57e+01  -4.1 6.29e-01    -  1.00e+00 5.94e-03h  8
 292  1.3113866e+01 4.00e-02 3.69e+01  -4.1 6.58e-01    -  1.00e+00 3.52e-03h  7
 293  1.3601347e+01 7.92e-03 3.67e+01  -4.1 6.46e-01    -  1.00e+00 5.00e-01h  2
 294  1.3601386e+01 7.86e-03 1.14e+01  -4.1 5.40e-02    -  1.00e+00 4.59e-04h 12
 295  1.3601460e+01 7.92e-03 1.14e+01  -4.1 6.71e-02    -  1.00e+00 1.91e-03h 10
 296  1.3601488e+01 7.66e-03 1.11e+01  -4.1 5.25e-02    -  3.61e-01 2.40e-04h 13
 297  1.3616078e+01 8.28e-03 1.17e+01  -4.1 5.56e-02    -  1.00e+00 3.29e-02H  1
 298  1.3616271e+01 8.05e-03 1.52e+01  -4.1 6.41e-02    -  1.00e+00 3.91e-03h  9
 299  1.3616388e+01 7.86e-03 1.09e+01  -4.1 5.67e-02    -  1.00e+00 1.95e-03h 10
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300  1.3616538e+01 7.79e-03 1.07e+01  -4.1 5.78e-02    -  1.17e-01 1.93e-03h 10
 301  1.3616597e+01 7.79e-03 1.59e+03  -4.1 4.36e-02    -  1.00e+00 1.72e-03h 10
 302  1.3616567e+01 7.86e-03 1.22e+01  -4.1 6.80e-02    -  1.00e+00 2.29e-04h 13
 303  1.3616583e+01 7.80e-03 1.39e+01  -4.1 5.54e-02    -  1.00e+00 7.63e-06h 18
 304  1.3616566e+01 8.20e-03 1.33e+01  -4.1 5.94e-02    -  1.00e+00 1.22e-04h 14
 305  1.3578195e+01 2.12e-02 1.21e+01  -4.1 8.60e-01    -  2.06e-01 5.04e-02f  4
 306  1.3590302e+01 2.24e-02 1.54e+01  -4.1 2.82e-01    -  1.00e+00 3.68e-02h  5
 307  1.2933936e+01 3.35e-01 2.12e+01  -4.1 3.58e-01    -  5.41e-01 2.37e-01H  1
 308r 1.2933965e+01 3.35e-01 9.99e+02  -0.4 0.00e+00    -  0.00e+00 2.78e-07R 16
 309r 2.0021607e+01 0.00e+00 9.53e+02   0.8 4.15e+03    -  4.75e-02 1.03e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310r 2.0555029e+01 0.00e+00 7.96e+02  -4.6 7.94e+00    -  2.05e-01 2.55e-02f  1
 311r 1.8213819e+01 0.00e+00 6.19e+02  -0.5 1.78e+00    -  2.21e-01 1.94e-01f  1
 312r 1.7671875e+01 0.00e+00 1.17e+02   0.4 3.99e+00    -  8.16e-01 3.27e-01f  1
 313r 2.6548293e+01 0.00e+00 6.04e+01  -0.3 7.51e+00    -  5.39e-01 9.76e-01f  1
 314r 2.1216990e+01 0.00e+00 7.30e+00  -0.3 1.12e+01    -  1.00e+00 3.88e-01f  1
 315r 1.8708971e+01 0.00e+00 7.39e-01  -1.0 1.13e+00    -  9.78e-01 1.00e+00f  1
 316r 1.6028146e+01 0.00e+00 2.61e-01  -2.9 1.39e+00    -  9.32e-01 1.00e+00f  1
 317r 1.6810664e+01 0.00e+00 1.29e-01  -3.2 4.17e-01    -  8.57e-01 9.74e-01h  1
 318  1.1117186e+01 1.44e+00 2.10e+01  -4.1 1.29e+01    -  1.12e-03 1.53e-01f  1
 319  1.0385540e+01 1.86e+00 2.05e+01  -4.1 2.77e+00    -  2.87e-01 8.20e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320  1.0273703e+01 1.84e+00 1.71e+01  -4.1 9.62e-01    -  1.00e+00 8.64e-02h  1
 321  1.1478808e+01 1.01e+00 4.36e+00  -4.1 2.18e+00    -  1.00e+00 5.38e-01h  1
 322  1.2881357e+01 7.63e-01 5.54e+00  -4.1 4.29e+00    -  8.99e-01 2.49e-01h  2
 323  1.2909543e+01 7.52e-01 6.75e+00  -4.1 4.31e+00    -  1.18e-01 4.25e-03h  7
 324  1.2930524e+01 7.49e-01 6.92e+00  -4.1 5.18e+00    -  1.00e+00 2.83e-03h  6
 325  1.2932911e+01 7.49e-01 7.11e+00  -4.1 4.69e+00    -  4.32e-02 3.38e-04h 12
 326  1.2934142e+01 7.48e-01 8.53e+00  -4.1 4.67e+00    -  2.87e-01 1.73e-04h 13
 327  9.5347204e+00 1.61e-01 4.45e+00  -4.1 4.41e+00    -  5.50e-02 7.76e-01H  1
 328  1.1766549e+01 0.00e+00 6.42e+00  -4.1 1.37e+00    -  1.00e+00 1.00e+00h  1
 329  8.9023874e+00 8.29e-01 1.90e+01  -4.1 1.14e+00    -  8.48e-01 5.64e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330  9.2872699e+00 6.95e-01 2.34e+01  -4.1 4.26e+00    -  1.13e-04 5.84e-02h  2
 331  9.4129069e+00 6.62e-01 2.35e+01  -4.1 4.06e+00    -  8.48e-01 2.06e-02h  3
 332  9.5317609e+00 6.43e-01 2.37e+01  -4.1 4.33e+00    -  2.97e-01 1.91e-02h  4
 333  9.5324001e+00 6.43e-01 2.35e+01  -4.1 4.43e+00    -  1.00e+00 1.05e-04h 14
 334  9.5343967e+00 6.43e-01 2.32e+01  -4.1 4.30e+00    -  1.00e+00 3.31e-04h  7
 335  1.1605439e+01 9.68e-02 1.89e+01  -4.1 3.97e+00    -  5.10e-02 3.18e-01h  2
 336  1.0941343e+01 1.11e-01 8.38e+00  -4.1 5.95e-01    -  1.00e+00 8.19e-01H  1
 337  1.1768458e+01 0.00e+00 8.44e+00  -4.1 9.79e-01    -  1.00e+00 5.00e-01h  2
 338  1.1393815e+01 2.96e-02 1.05e+01  -4.1 4.41e-01    -  1.00e+00 4.88e-01f  2
 339  1.1282906e+01 5.29e-02 1.13e+01  -4.1 2.73e-01    -  1.00e+00 3.48e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340  1.1491367e+01 1.08e-02 1.29e+01  -4.1 4.83e-01    -  1.85e-01 2.50e-01h  3
 341  1.1350569e+01 4.08e-02 1.24e+01  -3.9 1.00e-01    -  1.00e+00 1.00e+00H  1
 342  1.0905849e+01 1.67e-01 1.16e+01  -3.6 3.76e-01    -  1.00e+00 1.00e+00H  1
 343  1.1685005e+01 0.00e+00 1.38e+01  -3.6 1.37e+00    -  5.18e-01 3.10e-01h  1
 344  1.1204280e+01 1.03e-01 1.20e+01  -3.6 2.48e-01    -  1.00e+00 1.00e+00f  1
 345  9.9501401e+00 6.67e-01 7.82e+00  -3.6 8.54e-01    -  1.00e+00 5.94e-01H  1
 346  1.0214159e+01 5.70e-01 2.47e+01  -3.6 4.92e+00    -  1.04e-04 3.33e-02h  1
 347  1.0682285e+01 4.28e-01 4.39e+01  -3.6 4.47e+00    -  9.60e-01 6.55e-02h  4
 348  1.0864997e+01 3.78e-01 4.06e+01  -3.6 3.67e+00    -  1.20e-01 3.12e-02h  6
 349  1.2561176e+01 2.35e-02 1.36e+01  -3.6 3.41e+00    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350  1.3071564e+01 1.89e-02 1.09e+01  -3.6 3.77e-01    -  1.00e+00 1.00e+00h  1
 351  1.3071556e+01 1.90e-02 1.16e+01  -3.6 3.29e-01    -  1.00e+00 9.54e-07h 21
 352  1.3071609e+01 1.88e-02 1.20e+01  -3.6 3.36e-01    -  1.00e+00 6.10e-05h 15
 353  1.3467847e+01 6.10e-02 5.34e+00  -3.6 3.27e-01    -  1.00e+00 1.00e+00s 22
 354r 1.3467854e+01 6.13e-02 9.99e+02  -1.2 0.00e+00    -  0.00e+00 0.00e+00R  1
 355r 1.3699942e+01 0.00e+00 9.55e+02   0.5 1.04e+02    -  1.48e-01 1.06e-03f  1
 356r 1.5531427e+01 0.00e+00 7.34e+02  -0.6 1.79e+01    -  2.57e-01 4.96e-02f  1
 357r 1.2009791e+01 0.00e+00 1.74e+02  -0.3 9.09e+00    -  7.35e-01 2.84e-01f  1
 358r 1.5496997e+01 0.00e+00 4.99e+00  -0.3 1.24e+00    -  9.71e-01 1.00e+00f  1
 359r 1.5336634e+01 0.00e+00 9.17e-01  -1.4 3.30e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360r 1.6081087e+01 0.00e+00 1.83e-01  -2.2 1.11e+00    -  8.26e-01 1.00e+00h  1
 361r 1.5894269e+01 0.00e+00 1.56e-02  -3.2 1.02e-01    -  9.98e-01 1.00e+00h  1
 362  1.5856251e+01 0.00e+00 1.84e+01  -3.6 4.19e+00    -  5.68e-01 2.33e-03f  7
 363  1.5824268e+01 0.00e+00 1.84e+01  -3.6 1.09e+01    -  8.65e-02 1.10e-03f  7
 364  1.0471123e+01 1.40e-01 1.48e+01  -3.6 2.78e+01    -  3.50e-01 1.01e-01f  1
 365  7.8723502e+00 2.48e-01 1.16e+01  -3.6 9.89e+01    -  1.46e-02 1.73e-02f  1
 366  1.2431767e+01 3.74e-01 6.10e+00  -3.3 1.46e+00    -  8.85e-01 1.00e+00H  1
 367  1.1121235e+01 4.35e-01 9.00e+00  -2.0 2.24e+00    -  1.00e+00 4.60e-01f  1
 368  1.1284210e+01 4.03e-01 5.73e+00  -2.0 8.83e-01    -  3.84e-02 1.47e-01h  1
 369  1.3766229e+01 3.52e-01 1.12e+01  -2.0 2.42e+00    -  1.00e+00 3.94e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370  1.6950287e+01 2.33e-01 7.64e+00  -2.0 5.46e+00    -  6.21e-01 4.02e-01h  1
 371  2.3744672e+01 3.85e-03 2.25e+01  -2.0 4.95e+00    -  5.81e-02 9.49e-01h  1
 372  1.8065388e+01 3.49e-03 8.41e+00  -2.0 4.05e+00    -  1.00e+00 1.00e+00f  1
 373  1.7987032e+01 0.00e+00 8.52e+00  -2.0 3.28e+00    -  1.21e-01 3.12e-02f  6
 374  1.6542211e+01 5.74e-02 6.75e+00  -2.0 3.09e+00    -  1.00e+00 3.07e-01f  2
 375  1.7808105e+01 5.63e-02 6.29e+00  -2.0 1.79e+00    -  1.00e+00 5.00e-01h  2
 376  1.8464401e+01 0.00e+00 4.68e+00  -2.0 1.71e+00    -  5.41e-01 2.50e-01h  3
 377  1.8367298e+01 0.00e+00 4.31e+00  -2.0 6.60e-01    -  1.00e+00 1.25e-01h  4
 378  1.8254803e+01 0.00e+00 3.27e+00  -2.0 1.44e+00    -  5.90e-01 6.25e-02f  5
 379  1.7640622e+01 1.20e-02 4.80e+00  -2.0 1.61e+00    -  1.00e+00 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380  1.7676123e+01 0.00e+00 4.26e+00  -2.0 2.43e-01    -  7.40e-01 6.25e-02h  5
 381  1.7564644e+01 3.78e-02 8.14e+00  -2.0 1.17e-01    -  1.00e+00 5.00e-01h  2
 382  1.7611206e+01 6.52e-03 7.74e+00  -2.0 5.36e-01    -  1.61e-01 3.12e-02h  6
 383  1.7906536e+01 0.00e+00 1.36e+01  -2.0 1.60e-01    -  1.00e+00 1.00e+00w  1
 384  1.6878200e+01 2.35e-01 6.16e+01  -2.0 4.74e+00    -  1.54e-01 1.01e-01w  1
 385  1.6950086e+01 2.31e-01 6.45e+01  -2.0 5.29e+00    -  1.00e+00 9.53e-03w  1
 386  1.7620420e+01 0.00e+00 9.28e+00  -2.0 6.53e+00    -  1.00e+00 3.12e-02h  5
 387  1.0577900e+01 3.42e-01 1.34e+02  -2.0 1.00e+00    -  9.87e-02 3.18e-01F  1
 388  1.5045488e+01 0.00e+00 9.59e+00  -2.0 3.06e+00    -  4.35e-02 1.00e+00h  1
 389  1.4496991e+01 1.92e-01 1.83e+01  -2.0 1.80e+00    -  4.27e-01 1.29e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390  1.4970741e+01 1.53e-01 2.75e+01  -2.0 3.13e+00    -  3.81e-01 1.03e-01h  1
 391  1.4970787e+01 1.53e-01 2.72e+01  -2.0 4.66e+00    -  6.15e-01 2.40e-05h 10
 392  1.6313788e+01 1.54e-01 3.12e+01  -2.0 3.87e+00    -  1.00e+00 2.47e-01h  2
 393  1.6525441e+01 1.38e-01 2.22e+01  -2.0 4.40e+00    -  8.57e-02 3.21e-02h  4
 394  6.9544606e+00 1.10e+00 2.46e+01  -2.0 2.90e+00    -  1.59e-02 3.72e-01H  1
 395  6.7846483e+00 1.09e+00 8.51e+00  -2.0 1.27e+01    -  3.13e-01 1.47e-02h  1
 396  6.2949115e+00 1.05e+00 3.38e+01  -2.0 9.66e+00    -  4.33e-01 5.89e-02f  1
 397  5.8391050e+00 9.42e-01 3.47e+01  -2.0 3.58e+00    -  6.42e-01 2.66e-01h  1
 398  9.3092356e+00 2.04e-01 3.49e+01  -2.0 2.85e+00    -  6.63e-03 6.42e-01h  1
 399  8.7354575e+00 7.37e-01 2.27e+01  -2.0 1.36e+00    -  9.08e-01 4.60e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400  1.0339948e+01 1.15e-01 2.65e+01  -2.0 3.50e+00    -  8.77e-03 2.52e-01h  1
 401  1.0431591e+01 9.69e-02 2.71e+01  -2.0 6.74e-01    -  1.00e+00 8.98e-02h  1
 402  1.1317303e+01 1.21e-01 3.20e+00  -2.0 8.09e-01    -  1.00e+00 1.00e+00h  1
 403  1.2162370e+01 1.12e-01 1.27e+01  -2.0 1.66e+00    -  1.00e+00 2.80e-01H  1
 404  1.3461313e+01 0.00e+00 8.77e+00  -2.0 1.64e+00    -  6.68e-01 5.00e-01h  2
 405  1.2679105e+01 4.56e-02 7.92e+00  -2.0 9.98e-01    -  1.00e+00 5.00e-01f  2
 406  1.2951000e+01 1.83e-03 8.36e+00  -2.0 6.48e-01    -  1.00e+00 2.50e-01h  3
 407  1.2861091e+01 1.79e-03 9.89e+00  -2.9 7.13e-02    -  1.00e+00 1.00e+00h  1
 408  1.2729278e+01 8.34e-06 6.98e+00  -4.1 1.11e-01    -  1.00e+00 1.00e+00f  1
 409  1.2628059e+01 1.24e-01 3.43e+00  -5.5 8.28e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410  1.3748386e+01 1.18e-01 4.27e+00  -5.2 1.79e+00    -  1.00e+00 4.58e-01h  2
 411  1.4105602e+01 0.00e+00 3.63e+00  -5.2 1.40e+00    -  1.57e-01 1.25e-01h  4
 412  1.3755652e+01 6.05e-02 1.07e+00  -5.2 4.01e-01    -  1.00e+00 5.00e-01f  2
 413  1.2519590e+01 3.57e-01 2.36e+00  -5.2 1.00e+00    -  1.00e+00 1.00e+00H  1
 414  1.2114659e+01 4.61e-01 5.40e+00  -5.2 4.67e+00    -  1.00e+00 1.42e-01H  1
 415  1.2324732e+01 4.49e-01 5.97e+00  -5.2 6.40e+00    -  2.36e-04 2.30e-02h  4
 416  1.4338822e+01 4.07e-02 1.49e+01  -5.2 5.75e+00    -  1.00e+00 2.20e-01h  2
 417  1.2491202e+01 4.15e-01 8.23e+00  -5.2 6.69e-01    -  1.00e+00 1.00e+00H  1
 418  1.2511833e+01 4.12e-01 7.71e+00  -5.2 5.84e+00    -  3.18e-02 2.35e-03h  9
 419  1.2516249e+01 4.12e-01 9.90e+00  -5.2 6.24e+00    -  2.17e-01 5.15e-04h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 420  1.2516053e+01 4.12e-01 7.05e+00  -5.2 5.88e+00    -  6.14e-01 1.28e-04H  1
 421  1.0637170e+01 4.75e-01 1.18e+01  -5.2 5.52e+00    -  1.00e+00 1.00e+00H  1
 422  1.2526284e+01 1.28e-01 1.17e+01  -5.2 5.29e+00    -  8.71e-03 2.28e-01h  3
 423  1.3960456e+01 1.17e-02 4.24e+00  -5.2 1.87e+00    -  1.00e+00 5.00e-01h  2
 424  1.3638093e+01 8.91e-02 2.32e+00  -5.2 3.42e-01    -  1.00e+00 5.00e-01h  2
 425  1.2204141e+01 4.57e-01 7.64e+00  -5.2 1.60e+00    -  1.00e+00 5.19e-01H  1
 426  1.2339024e+01 4.40e-01 8.50e+00  -5.2 6.27e+00    -  4.32e-06 1.46e-02h  1
 427  1.2415484e+01 4.29e-01 2.12e+01  -5.2 6.17e+00    -  1.00e+00 8.41e-03h  7
 428  1.2473380e+01 4.21e-01 2.10e+01  -5.2 6.12e+00    -  2.54e-02 6.45e-03h  8
 429  1.2487889e+01 4.21e-01 2.10e+01  -5.2 6.05e+00    -  1.99e-01 1.63e-03h 10
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 430  6.1913094e+00 9.99e-01 5.40e+01  -5.2 5.27e+00    -  1.01e-02 1.00e+00F  1
 431  6.6541553e+00 6.93e-01 1.34e+01  -1.4 1.50e+00    -  1.00e+00 3.52e-01f  2
 432  9.7261162e+00 1.09e-01 1.15e+01  -1.2 1.83e+00    -  1.00e+00 1.00e+00h  1
 433  9.2204239e+00 1.36e-01 7.67e+00  -1.3 6.90e-01    -  6.56e-01 3.60e-01h  1
 434  1.1581273e+01 9.39e-02 4.31e+00  -1.3 1.40e+00    -  1.00e+00 4.80e-01H  1
 435  1.1391191e+01 1.43e-01 2.31e+00  -1.3 3.81e-01    -  5.75e-01 2.88e-01f  2
 436  1.2850177e+01 0.00e+00 4.07e+00  -1.3 8.58e-01    -  1.00e+00 1.00e+00h  1
 437  1.2489337e+01 8.84e-02 2.04e+00  -1.3 3.49e-01    -  1.00e+00 5.00e-01f  2
 438  1.3242357e+01 0.00e+00 1.96e+00  -1.3 1.01e+00    -  1.00e+00 5.00e-01h  2
 439  1.3009217e+01 6.68e-02 9.37e-01  -1.3 2.07e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 440  1.4490436e+01 0.00e+00 3.27e+00  -1.3 1.05e+00    -  1.00e+00 1.00e+00h  1
 441  1.4454387e+01 0.00e+00 3.45e+00  -1.3 1.72e-01    -  1.00e+00 2.50e-01h  3
 442  1.4430476e+01 0.00e+00 1.76e+00  -1.3 6.21e-01    -  1.00e+00 3.12e-02h  6
 443  1.4003329e+01 9.03e-03 5.20e+00  -1.3 5.70e-01    -  1.00e+00 5.00e-01f  2
 444  1.4095733e+01 0.00e+00 2.61e+00  -1.3 2.23e-01    -  1.00e+00 2.50e-01h  3
